It took 3.820772171020508 seconds to calculate the mandelbrot graph
It took 0.09927606582641602 seconds to dump the image.
         1099361 function calls (1080072 primitive calls) in 4.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      345    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
  740/674    0.002    0.000    0.016    0.000 inspect.py:2375(_signature_from_callable)
  346/345    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      132    0.000    0.000    0.016    0.000 _docstring.py:38(__call__)
  122/111    0.000    0.000    0.015    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.014    0.014 pyplot.py:2617(imshow)
        1    0.000    0.000    0.013    0.013 _base.py:1(<module>)
      197    0.000    0.000    0.013    0.000 sre_parse.py:944(parse)
       13    0.000    0.000    0.013    0.001 _docstring.py:51(__missing__)
      588    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      648    0.007    0.000    0.013    0.000 inspect.py:2280(_signature_from_function)
        2    0.000    0.000    0.013    0.006 image.py:617(draw)
       36    0.000    0.000    0.013    0.000 axis.py:298(draw)
        2    0.000    0.000    0.012    0.006 image.py:940(make_image)
        8    0.000    0.000    0.012    0.002 axis.py:1527(get_major_ticks)
        2    0.001    0.000    0.012    0.006 image.py:328(_make_image)
        1    0.000    0.000    0.012    0.012 legend.py:1(<module>)
  416/197    0.001    0.000    0.012    0.000 sre_parse.py:436(_parse_sub)
  454/200    0.005    0.000    0.012    0.000 sre_parse.py:494(_parse)
       20    0.000    0.000    0.012    0.001 axis.py:1476(_get_tick)
        2    0.000    0.000    0.011    0.006 pyplot.py:2235(gca)
        2    0.000    0.000    0.011    0.006 figure.py:1605(gca)
        1    0.000    0.000    0.011    0.011 figure.py:619(add_subplot)
        1    0.000    0.000    0.011    0.011 _subplots.py:14(__init__)
      433    0.011    0.000    0.011    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.011    0.011 _base.py:574(__init__)
      216    0.006    0.000    0.011    0.000 artist.py:1420(<listcomp>)
     9440    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.011    0.005 core.py:225(read_style_directory)
1674/1253    0.002    0.000    0.011    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       29    0.000    0.000    0.010    0.000 __init__.py:847(rc_params_from_file)
        1    0.000    0.000    0.010    0.010 _axes.py:46(Axes)
        1    0.000    0.000    0.010    0.010 art3d.py:1(<module>)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
      108    0.001    0.000    0.009    0.000 text.py:298(_get_layout)
       78    0.000    0.000    0.009    0.000 text.py:874(get_window_extent)
        8    0.000    0.000    0.009    0.001 axis.py:1228(_get_ticklabel_bboxes)
        8    0.000    0.000    0.009    0.001 axis.py:1232(<listcomp>)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
        1    0.000    0.000    0.009    0.009 geo.py:1(<module>)
       20    0.000    0.000    0.009    0.000 axis.py:58(__init__)
     1225    0.001    0.000    0.009    0.000 __init__.py:628(__setitem__)
       51    0.000    0.000    0.009    0.000 re.py:249(compile)
        1    0.000    0.000    0.008    0.008 textpath.py:1(<module>)
       86    0.000    0.000    0.008    0.000 text.py:673(draw)
        4    0.000    0.000    0.008    0.002 image.py:160(_resample)
        1    0.000    0.000    0.008    0.008 category.py:1(<module>)
        1    0.000    0.000    0.008    0.008 axis.py:1(<module>)
      197    0.000    0.000    0.008    0.000 sre_compile.py:622(_code)
        4    0.007    0.002    0.008    0.002 {built-in method matplotlib._image.resample}
        2    0.000    0.000    0.007    0.004 shape_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 py3k.py:1(<module>)
        3    0.000    0.000    0.007    0.002 patches.py:2189(__init_subclass__)
        6    0.000    0.000    0.007    0.001 patches.py:2231(pprint_styles)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
    70231    0.006    0.000    0.007    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.007    0.007 lines.py:1(<module>)
        6    0.000    0.000    0.007    0.001 patches.py:2235(<listcomp>)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
        1    0.000    0.000    0.007    0.007 polar.py:1(<module>)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
        2    0.000    0.000    0.007    0.003 common.py:1(<module>)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
      288    0.006    0.000    0.006    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.006    0.006 text.py:1(<module>)
     6408    0.004    0.000    0.006    0.000 inspect.py:2637(__init__)
        1    0.000    0.000    0.006    0.006 _parser.py:1(<module>)
        7    0.000    0.000    0.006    0.001 __init__.py:108(import_module)
        7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
    88773    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      429    0.000    0.000    0.006    0.000 artist.py:1503(number_of_parameters)
        1    0.000    0.000    0.006    0.006 _base.py:1341(clear)
        1    0.000    0.000    0.006    0.006 _base.py:1219(__clear)
       10    0.000    0.000    0.006    0.001 axis.py:421(__init__)
        4    0.000    0.000    0.006    0.001 axis.py:2035(_get_tick_boxes_siblings)
    64620    0.004    0.000    0.006    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.006    0.006 __init__.py:195(_check_versions)
        1    0.000    0.000    0.006    0.006 subprocess.py:1(<module>)
       10    0.000    0.000    0.006    0.001 axis.py:482(__init__)
       92    0.000    0.000    0.006    0.000 __init__.py:1349(_preprocess_data)
        2    0.000    0.000    0.005    0.003 version.py:1(<module>)
      935    0.000    0.000    0.005    0.000 artist.py:1509(is_alias)
 1007/197    0.003    0.000    0.005    0.000 sre_compile.py:87(_compile)
        1    0.003    0.003    0.005    0.005 _methods.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:361(_mac_os_check)
        1    0.000    0.000    0.005    0.005 <__array_function__ internals>:177(polyfit)
        1    0.000    0.000    0.005    0.005 polynomial.py:452(polyfit)
      216    0.000    0.000    0.005    0.000 text.py:93(_get_text_metrics_with_cache)
139962/138918    0.005    0.000    0.005    0.000 {built-in method builtins.len}
15536/15523    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
      142    0.000    0.000    0.005    0.000 markers.py:228(__init__)
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
      314    0.001    0.000    0.005    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
        1    0.000    0.000    0.004    0.004 axis3d.py:1(<module>)
      337    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 quiver.py:1(<module>)
    52/48    0.000    0.000    0.004    0.000 deprecation.py:289(wrapper)
      142    0.000    0.000    0.004    0.000 markers.py:327(_set_marker)
       14    0.000    0.000    0.004    0.000 axis.py:771(_set_scale)
        1    0.000    0.000    0.004    0.004 _base.py:775(_init_axis)
        1    0.000    0.000    0.004    0.004 Image.py:311(preinit)
        2    0.000    0.000    0.004    0.002 ElementTree.py:1(<module>)
       14    0.000    0.000    0.004    0.000 scale.py:103(set_default_locators_and_formatters)
       12    0.000    0.000    0.004    0.000 axis.py:861(clear)
    51915    0.004    0.000    0.004    0.000 {built-in method builtins.min}
      101    0.001    0.000    0.004    0.000 artist.py:140(<listcomp>)
        1    0.000    0.000    0.004    0.004 pyplot.py:666(figure)
     1394    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       14    0.000    0.000    0.004    0.000 axis.py:1497(_copy_tick_props)
        1    0.000    0.000    0.004    0.004 pyplot.py:356(new_figure_manager)
     4131    0.002    0.000    0.004    0.000 artist.py:1522(aliased_name)
       19    0.000    0.000    0.004    0.000 rcsetup.py:724(validate_cycler)
        1    0.000    0.000    0.004    0.004 linalg.py:1(<module>)
       60    0.001    0.000    0.004    0.000 lines.py:272(__init__)
      922    0.003    0.000    0.004    0.000 inspect.py:2920(__init__)
      108    0.001    0.000    0.004    0.000 lines.py:731(draw)
     1409    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      359    0.001    0.000    0.004    0.000 artist.py:1143(_update_props)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
    73605    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
       42    0.000    0.000    0.004    0.000 lines.py:1319(update_from)
       60    0.000    0.000    0.004    0.000 font_manager.py:1289(findfont)
      249    0.000    0.000    0.004    0.000 artist.py:117(<lambda>)
        2    0.000    0.000    0.004    0.002 axis.py:648(__init__)
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
       14    0.000    0.000    0.004    0.000 ticker.py:442(__init__)
      249    0.000    0.000    0.004    0.000 artist.py:1190(set)
       14    0.000    0.000    0.004    0.000 ticker.py:548(set_useMathText)
1580/1432    0.000    0.000    0.004    0.000 {built-in method builtins.next}
     3086    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.004    0.004 axis.py:2189(__init__)
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pyplot.py:334(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.004    0.001 pyplot.py:197(_get_backend_mod)
        1    0.000    0.000    0.004    0.004 datetime.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pyplot.py:211(switch_backend)
        2    0.000    0.000    0.004    0.002 axis.py:2242(_update_label_position)
      312    0.000    0.000    0.003    0.000 artist.py:1179(_internal_update)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
      6/4    0.000    0.000    0.003    0.001 axis.py:588(__get__)
        2    0.000    0.000    0.003    0.002 axis.py:2496(_update_label_position)
  2534/42    0.002    0.000    0.003    0.000 copy.py:128(deepcopy)
     7449    0.002    0.000    0.003    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.003    0.003 <__array_function__ internals>:177(lstsq)
        1    0.003    0.003    0.003    0.003 linalg.py:2150(lstsq)
        1    0.000    0.000    0.003    0.003 font_manager.py:1(<module>)
   168/42    0.000    0.000    0.003    0.000 copy.py:227(_deepcopy_dict)
        1    0.000    0.000    0.003    0.003 common.py:8(pyparsing_common)
       47    0.000    0.000    0.003    0.000 __init__.py:1305(_add_data_doc)
     8803    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.003    0.003 font_manager.py:1449(_findfont_cached)
        1    0.000    0.000    0.003    0.003 __init__.py:1420(inner)
        1    0.000    0.000    0.003    0.003 _axes.py:5398(imshow)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        8    0.000    0.000    0.003    0.000 axis.py:917(set_tick_params)
      317    0.000    0.000    0.003    0.000 function_base.py:483(add_newdoc)
     1258    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 cm.py:40(_gen_cmap_registry)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
      576    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       36    0.000    0.000    0.003    0.000 backend_agg.py:200(draw_text)
      554    0.000    0.000    0.003    0.000 colors.py:218(is_color_like)
       46    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
      445    0.000    0.000    0.003    0.000 rcsetup.py:310(validate_color)
        5    0.000    0.000    0.003    0.001 _version.py:1(<module>)
      742    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.003    0.001 _base.py:3198(grid)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
        4    0.000    0.000    0.003    0.001 axis.py:1553(grid)
       85    0.000    0.000    0.003    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:1(<module>)
       47    0.000    0.000    0.003    0.000 text.py:131(__init__)
      952    0.001    0.000    0.003    0.000 copy.py:259(_reconstruct)
