It took 3.820772171020508 seconds to calculate the mandelbrot graph
It took 0.09927606582641602 seconds to dump the image.
         1099361 function calls (1080072 primitive calls) in 4.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
        1    0.000    0.000    0.000    0.000 _subplots.py:42(set_subplotspec)
       16    0.000    0.000    0.000    0.000 core.py:4084(__init__)
       23    0.000    0.000    0.000    0.000 core.py:4948(__init__)
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
       60    0.000    0.000    0.000    0.000 lines.py:720(set_transform)
        1    0.000    0.000    0.000    0.000 patches.py:4130(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       50    0.000    0.000    0.000    0.000 fromnumeric.py:2432(all)
    92/50    0.000    0.000    0.000    0.000 _base.py:875(get_xaxis_transform)
      786    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
       64    0.000    0.000    0.000    0.000 fromnumeric.py:3245(around)
       20    0.000    0.000    0.000    0.000 transforms.py:2827(nonsingular)
       72    0.000    0.000    0.000    0.000 ticker.py:583(__call__)
       29    0.000    0.000    0.000    0.000 __init__.py:220(__getattr__)
       17    0.000    0.000    0.000    0.000 patches.py:341(_set_facecolor)
     2356    0.000    0.000    0.000    0.000 __init__.py:770(<lambda>)
        2    0.000    0.000    0.000    0.000 typing.py:2247(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      278    0.000    0.000    0.000    0.000 __init__.py:1192(is_interactive)
      203    0.000    0.000    0.000    0.000 artist.py:241(convert_xunits)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
      719    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       85    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.000    0.000 scale.py:734(_get_scale_docs)
        2    0.000    0.000    0.000    0.000 patches.py:687(__init__)
    92/50    0.000    0.000    0.000    0.000 _base.py:951(get_yaxis_transform)
        1    0.000    0.000    0.000    0.000 patches.py:4473(ConnectionPatch)
      395    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
       19    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
      137    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      167    0.000    0.000    0.000    0.000 cm.py:85(__getitem__)
       35    0.000    0.000    0.000    0.000 posixpath.py:229(expanduser)
      717    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
     1547    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
      179    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
       85    0.000    0.000    0.000    0.000 core.py:3904(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:3846(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      575    0.000    0.000    0.000    0.000 inspect.py:191(isclass)
       10    0.000    0.000    0.000    0.000 axis.py:443(_get_text1_transform)
       36    0.000    0.000    0.000    0.000 transforms.py:2741(__init__)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
        4    0.000    0.000    0.000    0.000 patches.py:601(get_window_extent)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
      310    0.000    0.000    0.000    0.000 __init__.py:698(__iter__)
        1    0.000    0.000    0.000    0.000 axis3d.py:53(Axis)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:2181(SpanSelector)
      879    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
      591    0.000    0.000    0.000    0.000 __init__.py:1868(_str_equal)
       38    0.000    0.000    0.000    0.000 rcsetup.py:714(<genexpr>)
       33    0.000    0.000    0.000    0.000 colors.py:479(<setcomp>)
        5    0.000    0.000    0.000    0.000 _base.py:1091(_set_position)
       28    0.000    0.000    0.000    0.000 axis.py:1766(_set_formatter)
       10    0.000    0.000    0.000    0.000 axis.py:504(_get_text1_transform)
       47    0.000    0.000    0.000    0.000 text.py:992(set_linespacing)
       10    0.000    0.000    0.000    0.000 _base.py:899(get_xaxis_text1_transform)
      347    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 helpers.py:14(delimited_list)
       56    0.000    0.000    0.000    0.000 stride_tricks.py:416(_broadcast_shape)
        1    0.000    0.000    0.000    0.000 widgets.py:3592(PolygonSelector)
       36    0.000    0.000    0.000    0.000 transforms.py:790(unit)
     1657    0.000    0.000    0.000    0.000 artist.py:265(axes)
        3    0.000    0.000    0.000    0.000 colors.py:1378(autoscale_None)
       60    0.000    0.000    0.000    0.000 lines.py:1222(set_markerfacecolor)
        1    0.000    0.000    0.000    0.000 text.py:108(Text)
       55    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        1    0.000    0.000    0.000    0.000 cm.py:423(_scale_norm)
        1    0.000    0.000    0.000    0.000 patches.py:3087(ArrowStyle)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1263(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cm.py:667(autoscale_None)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
       36    0.000    0.000    0.000    0.000 markers.py:378(get_transform)
        1    0.000    0.000    0.000    0.000 backend_agg.py:78(__init__)
      221    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
      394    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
     1297    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
        1    0.000    0.000    0.000    0.000 patches.py:25(Patch)
        1    0.000    0.000    0.000    0.000 __init__.py:187(<lambda>)
       84    0.000    0.000    0.000    0.000 path.py:162(_fast_from_codes_and_verts)
        1    0.000    0.000    0.000    0.000 colors.py:1163(_init)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 __init__.py:165(_get_version)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ones_like)
       12    0.000    0.000    0.000    0.000 spines.py:226(_adjust_location)
       83    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       10    0.000    0.000    0.000    0.000 _base.py:975(get_yaxis_text1_transform)
        6    0.000    0.000    0.000    0.000 text.py:237(_get_xy_display)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1705(Parser)
      395    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       28    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       30    0.000    0.000    0.000    0.000 pathlib.py:438(_select_from)
       38    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       19    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      770    0.000    0.000    0.000    0.000 transforms.py:1926(get_matrix)
        2    0.000    0.000    0.000    0.000 numeric.py:219(ones_like)
      156    0.000    0.000    0.000    0.000 text.py:1157(set_x)
       10    0.000    0.000    0.000    0.000 axis.py:446(_get_text2_transform)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
       13    0.000    0.000    0.000    0.000 textwrap.py:473(indent)
      423    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      108    0.000    0.000    0.000    0.000 transforms.py:2219(<lambda>)
      108    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      668    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 offsetbox.py:1261(AnnotationBbox)
      131    0.000    0.000    0.000    0.000 core.py:1915(__eq__)
       44    0.000    0.000    0.000    0.000 text.py:1060(set_fontsize)
      219    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       43    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
       10    0.000    0.000    0.000    0.000 axis.py:507(_get_text2_transform)
        2    0.000    0.000    0.000    0.000 posixpath.py:392(realpath)
       41    0.000    0.000    0.000    0.000 transforms.py:2678(__init__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       58    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
       10    0.000    0.000    0.000    0.000 _base.py:925(get_xaxis_text2_transform)
       46    0.000    0.000    0.000    0.000 artist.py:1080(set_zorder)
       36    0.000    0.000    0.000    0.000 _methods.py:93(_clip_dep_is_scalar_nan)
        4    0.000    0.000    0.000    0.000 path.py:604(get_extents)
       15    0.000    0.000    0.000    0.000 abc.py:110(register)
      167    0.000    0.000    0.000    0.000 colors.py:943(copy)
       67    0.000    0.000    0.000    0.000 pathlib.py:621(__str__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
       91    0.000    0.000    0.000    0.000 text.py:1211(set_verticalalignment)
      219    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
      865    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 patches.py:1260(Arrow)
       35    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       10    0.000    0.000    0.000    0.000 _base.py:1001(get_yaxis_text2_transform)
       43    0.000    0.000    0.000    0.000 deprecation.py:440(<listcomp>)
       20    0.000    0.000    0.000    0.000 text.py:1146(set_position)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
     1427    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       19    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
        4    0.000    0.000    0.000    0.000 _base.py:1878(get_data_ratio)
        2    0.000    0.000    0.000    0.000 dataclasses.py:587(_repr_fn)
      156    0.000    0.000    0.000    0.000 text.py:1168(set_y)
        1    0.000    0.000    0.000    0.000 patches.py:1316(FancyArrow)
       21    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
      397    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:995(home)
      197    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       25    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       40    0.000    0.000    0.000    0.000 colors.py:1139(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       72    0.000    0.000    0.000    0.000 transforms.py:2907(_interval_contains_close)
       20    0.000    0.000    0.000    0.000 colors.py:1179(reversed)
      575    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       14    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
       38    0.000    0.000    0.000    0.000 core.py:2981(_generateDefaultName)
      158    0.000    0.000    0.000    0.000 __init__.py:190(__init__)
     1254    0.000    0.000    0.000    0.000 font_manager.py:782(get_size)
      128    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:368(_make_selector)
        2    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
       64    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
       92    0.000    0.000    0.000    0.000 axis.py:764(get_transform)
       20    0.000    0.000    0.000    0.000 transforms.py:1087(__init__)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(diff)
        6    0.000    0.000    0.000    0.000 patches.py:432(set_fill)
       75    0.000    0.000    0.000    0.000 font_manager.py:818(set_style)
        1    0.000    0.000    0.000    0.000 pathlib.py:434(__init__)
      203    0.000    0.000    0.000    0.000 artist.py:253(convert_yunits)
      126    0.000    0.000    0.000    0.000 colors.py:957(__init__)
        6    0.000    0.000    0.000    0.000 transforms.py:1057(set)
       33    0.000    0.000    0.000    0.000 __init__.py:625(__init__)
       72    0.000    0.000    0.000    0.000 ticker.py:531(_format_maybe_minus_and_locale)
        1    0.000    0.000    0.000    0.000 table.py:35(Cell)
        1    0.000    0.000    0.000    0.000 pathlib.py:260(compile_pattern)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:609(Axis)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
      405    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
      134    0.000    0.000    0.000    0.000 backend_bases.py:930(set_foreground)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      203    0.000    0.000    0.000    0.000 __init__.py:865(clean)
       42    0.000    0.000    0.000    0.000 core.py:287(wrapper)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
       70    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
       91    0.000    0.000    0.000    0.000 text.py:962(set_horizontalalignment)
       72    0.000    0.000    0.000    0.000 lines.py:961(_get_markerfacecolor)
       10    0.000    0.000    0.000    0.000 markers.py:811(_set_tickdown)
      197    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      362    0.000    0.000    0.000    0.000 inspect.py:199(ismethod)
       43    0.000    0.000    0.000    0.000 pathlib.py:631(__fspath__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:623(_cmp_fn)
        2    0.000    0.000    0.000    0.000 posixpath.py:401(_joinrealpath)
       19    0.000    0.000    0.000    0.000 cycler.py:206(_from_iter)
        6    0.000    0.000    0.000    0.000 transforms.py:373(size)
      181    0.000    0.000    0.000    0.000 textwrap.py:485(prefixed_lines)
       16    0.000    0.000    0.000    0.000 transforms.py:1869(inverted)
       48    0.000    0.000    0.000    0.000 text.py:1179(set_rotation)
      167    0.000    0.000    0.000    0.000 colors.py:761(__copy__)
      865    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1192    0.000    0.000    0.000    0.000 font_manager.py:765(get_weight)
       16    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        1    0.000    0.000    0.000    0.000 unicode.py:118(pyparsing_unicode)
      197    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       13    0.000    0.000    0.000    0.000 inspect.py:3181(bind)
        4    0.000    0.000    0.000    0.000 transforms.py:1463(__array__)
      308    0.000    0.000    0.000    0.000 rcsetup.py:803(_convert_validator_spec)
      213    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
       23    0.000    0.000    0.000    0.000 core.py:2940(_update_from)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1898(Arc)
       60    0.000    0.000    0.000    0.000 lines.py:1390(set_dash_capstyle)
       84    0.000    0.000    0.000    0.000 transforms.py:2227(transform_non_affine)
        3    0.000    0.000    0.000    0.000 core.py:5830(max)
     1238    0.000    0.000    0.000    0.000 font_manager.py:737(get_family)
        8    0.000    0.000    0.000    0.000 core.py:4758(__init__)
       24    0.000    0.000    0.000    0.000 dviread.py:220(decorate)
  145/100    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
        1    0.000    0.000    0.000    0.000 gridspec.py:669(get_position)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
     1218    0.000    0.000    0.000    0.000 inspect.py:3006(parameters)
       55    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      100    0.000    0.000    0.000    0.000 scale.py:115(get_transform)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       13    0.000    0.000    0.000    0.000 inspect.py:3050(_bind)
       75    0.000    0.000    0.000    0.000 font_manager.py:831(set_variant)
      121    0.000    0.000    0.000    0.000 font_manager.py:804(set_family)
       92    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
       60    0.000    0.000    0.000    0.000 lines.py:1212(set_markeredgecolor)
        6    0.000    0.000    0.000    0.000 patches.py:2249(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:450(DebugActions)
     1960    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
       33    0.000    0.000    0.000    0.000 _collections_abc.py:991(update)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:578(_ReducedHCT_Element)
     2338    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1192    0.000    0.000    0.000    0.000 font_manager.py:753(get_style)
      137    0.000    0.000    0.000    0.000 lines.py:63(_scale_dashes)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
      559    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
        1    0.000    0.000    0.000    0.000 _base.py:3616(set_xlim)
       22    0.000    0.000    0.000    0.000 function_base.py:1320(diff)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ptp)
      156    0.000    0.000    0.000    0.000 transforms.py:2259(get_affine)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
      183    0.000    0.000    0.000    0.000 inspect.py:1867(_signature_get_user_defined_method)
      448    0.000    0.000    0.000    0.000 colors.py:338(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       61    0.000    0.000    0.000    0.000 inspect.py:1985(_signature_is_builtin)
      185    0.000    0.000    0.000    0.000 artist.py:421(get_transform)
        1    0.000    0.000    0.000    0.000 image.py:857(AxesImage)
       14    0.000    0.000    0.000    0.000 axis.py:1726(set_major_formatter)
       16    0.000    0.000    0.000    0.000 __init__.py:221(connect)
      218    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       11    0.000    0.000    0.000    0.000 patches.py:348(set_facecolor)
       37    0.000    0.000    0.000    0.000 rcsetup.py:452(_validate_linestyle)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image.py:905(__init__)
       21    0.000    0.000    0.000    0.000 fromnumeric.py:2333(any)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1176(OffsetImage)
        1    0.000    0.000    0.000    0.000 __init__.py:540(get_data_path)
       10    0.000    0.000    0.000    0.000 core.py:4147(_generateDefaultName)
       17    0.000    0.000    0.000    0.000 _methods.py:47(_sum)
     1192    0.000    0.000    0.000    0.000 font_manager.py:774(get_stretch)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 image.py:247(__init__)
     1192    0.000    0.000    0.000    0.000 font_manager.py:759(get_variant)
        5    0.000    0.000    0.000    0.000 core.py:1392(__radd__)
      483    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       42    0.000    0.000    0.000    0.000 results.py:533(copy)
       14    0.000    0.000    0.000    0.000 core.py:8227(_replace_return_type)
      166    0.000    0.000    0.000    0.000 colors.py:659(__init__)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        1    0.000    0.000    0.000    0.000 units.py:1(<module>)
       60    0.000    0.000    0.000    0.000 lines.py:1232(set_markerfacecoloralt)
        1    0.000    0.000    0.000    0.000 common.py:422(<listcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:663(Rectangle)
        1    0.000    0.000    0.000    0.000 pathlib.py:1064(resolve)
        7    0.000    0.000    0.000    0.000 enum.py:980(__or__)
       60    0.000    0.000    0.000    0.000 lines.py:1124(set_linewidth)
       10    0.000    0.000    0.000    0.000 markers.py:805(_set_tickup)
        3    0.000    0.000    0.000    0.000 pathlib.py:1432(expanduser)
       60    0.000    0.000    0.000    0.000 lines.py:1066(set_drawstyle)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       14    0.000    0.000    0.000    0.000 axis.py:1792(set_major_locator)
   106/64    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
        1    0.000    0.000    0.000    0.000 widgets.py:1674(MultiCursor)
      219    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 gzip.py:121(GzipFile)
      395    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
      144    0.000    0.000    0.000    0.000 text.py:250(get_rotation)
        1    0.000    0.000    0.000    0.000 collections.py:1485(EventCollection)
       21    0.000    0.000    0.000    0.000 artist.py:970(set_alpha)
        4    0.000    0.000    0.000    0.000 colors.py:1628(_make_norm_from_scale)
       13    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 patches.py:882(RegularPolygon)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:1(<module>)
       21    0.000    0.000    0.000    0.000 getlimits.py:476(__new__)
        1    0.000    0.000    0.000    0.000 _base.py:785(set_figure)
        1    0.000    0.000    0.000    0.000 helpers.py:1061(<listcomp>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:910(AnchoredOffsetbox)
     1084    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       48    0.000    0.000    0.000    0.000 text.py:264(set_rotation_mode)
       48    0.000    0.000    0.000    0.000 traceback.py:288(__getitem__)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
       13    0.000    0.000    0.000    0.000 transforms.py:784(frozen)
       11    0.000    0.000    0.000    0.000 __init__.py:238(_connect_picklable)
       60    0.000    0.000    0.000    0.000 lines.py:1342(set_dash_joinstyle)
       36    0.000    0.000    0.000    0.000 core.py:4148(<genexpr>)
    28/22    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
      408    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
      517    0.000    0.000    0.000    0.000 transforms.py:1039(get_points)
        1    0.000    0.000    0.000    0.000 patches.py:1516(Ellipse)
       52    0.000    0.000    0.000    0.000 core.py:3819(<genexpr>)
        1    0.000    0.000    0.000    0.000 image.py:1398(BboxImage)
       76    0.000    0.000    0.000    0.000 ticker.py:262(fix_minus)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2604(ptp)
      108    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       28    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
      279    0.000    0.000    0.000    0.000 text.py:1227(set_text)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
      219    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
        5    0.000    0.000    0.000    0.000 core.py:5590(__add__)
       14    0.000    0.000    0.000    0.000 axis.py:1752(set_minor_formatter)
       10    0.000    0.000    0.000    0.000 markers.py:791(_set_tickleft)
      123    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 spines.py:14(Spine)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
      848    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 patches.py:1166(Wedge)
       60    0.000    0.000    0.000    0.000 lines.py:1406(set_solid_capstyle)
        1    0.000    0.000    0.000    0.000 _base.py:1146(_gen_axes_patch)
       13    0.000    0.000    0.000    0.000 _methods.py:55(_any)
        4    0.000    0.000    0.000    0.000 axis.py:2164(setter)
      125    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 _base.py:3848(set_ylim)
      363    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        4    0.000    0.000    0.000    0.000 transforms.py:1588(transform_path)
        8    0.000    0.000    0.000    0.000 core.py:1663(__call__)
        3    0.000    0.000    0.000    0.000 enum.py:553(<listcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:2272(BoxStyle)
       14    0.000    0.000    0.000    0.000 axis.py:1808(set_minor_locator)
      953    0.000    0.000    0.000    0.000 inspect.py:2691(default)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(polyval)
       60    0.000    0.000    0.000    0.000 lines.py:1358(set_solid_joinstyle)
       16    0.000    0.000    0.000    0.000 ticker.py:1908(scale_range)
       28    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.000    0.000 image.py:1335(FigureImage)
        1    0.000    0.000    0.000    0.000 __init__.py:529(get_cachedir)
        1    0.000    0.000    0.000    0.000 font_manager.py:1572(_cached_realpath)
        6    0.000    0.000    0.000    0.000 patches.py:2242(<listcomp>)
        1    0.000    0.000    0.000    0.000 texmanager.py:56(TexManager)
        5    0.000    0.000    0.000    0.000 core.py:561(_setResultsName)
       26    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 polynomial.py:704(polyval)
       44    0.000    0.000    0.000    0.000 transforms.py:2038(translate)
        7    0.000    0.000    0.000    0.000 __init__.py:931(__set_name__)
       20    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
        1    0.000    0.000    0.000    0.000 core.py:1828(masked_where)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      345    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 colors.py:77(<dictcomp>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       29    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:1894(QuadMesh)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2150(_switch_canvas_and_return_print_method)
       51    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
        8    0.000    0.000    0.000    0.000 pathlib.py:1092(stat)
       21    0.000    0.000    0.000    0.000 patches.py:732(_convert_units)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
      221    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        5    0.000    0.000    0.000    0.000 PngImagePlugin.py:1057(putchunk)
        1    0.000    0.000    0.000    0.000 gridspec.py:145(get_grid_positions)
        1    0.000    0.000    0.000    0.000 mathtext.py:151(MathtextBackendPath)
        1    0.000    0.000    0.000    0.000 patches.py:1490(CirclePolygon)
       38    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6753(refer_to_array_attribute)
      806    0.000    0.000    0.000    0.000 font_manager.py:946(get_math_fontfamily)
      385    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
